序号,扩展名,类型,简要介绍
1,.txt,文本文档,纯文本文件，不包含复杂样式，适合记录日志、说明和简单数据。
2,.md,文本文档,Markdown 文档，使用轻量标记语法编写标题、列表、链接和代码块。
3,.rtf,文本文档,富文本格式，可保存字体、字号、颜色等基本排版信息。
4,.doc,办公文档,旧版 Microsoft Word 文档格式，常见于早期办公文件。
5,.docx,办公文档,新版 Word 文档格式，基于 Office Open XML，适合文字排版和协作。
6,.odt,办公文档,OpenDocument 文本文档，常见于 LibreOffice、OpenOffice 等办公套件。
7,.pdf,版式文档,便携式文档格式，强调跨平台显示一致性，常用于论文、合同和报告。
8,.epub,电子书,开放电子书格式，支持可重排文本，常用于电子阅读器。
9,.mobi,电子书,早期 Kindle 常用电子书格式，现已逐渐被 EPUB 等格式替代。
10,.azw3,电子书,Kindle 电子书格式，支持较复杂的排版和元数据。
11,.xls,电子表格,旧版 Excel 表格格式，常用于存储表格数据和公式。
12,.xlsx,电子表格,新版 Excel 表格格式，基于 Office Open XML，支持工作表、公式和图表。
13,.ods,电子表格,OpenDocument 表格格式，常见于 LibreOffice Calc。
14,.csv,数据表格,逗号分隔值文件，结构简单，适合跨软件交换表格数据。
15,.tsv,数据表格,制表符分隔值文件，适合字段中可能包含逗号的数据表。
16,.ppt,演示文稿,旧版 PowerPoint 演示文稿格式。
17,.pptx,演示文稿,新版 PowerPoint 演示文稿格式，支持幻灯片、动画、图表和多媒体。
18,.odp,演示文稿,OpenDocument 演示文稿格式，常见于 LibreOffice Impress。
19,.jpg / .jpeg,图片,有损压缩图片格式，适合照片和网页图片。
20,.png,图片,无损压缩图片格式，支持透明背景，适合图标、截图和界面素材。
21,.gif,图片,支持简单动画和有限颜色，常用于短循环动画。
22,.bmp,图片,位图格式，通常不压缩，文件体积较大。
23,.webp,图片,Web 图片格式，支持有损、无损和透明通道，压缩效率较高。
24,.tif / .tiff,图片,高质量图像格式，常用于扫描、出版和影像归档。
25,.svg,矢量图,基于 XML 的矢量图格式，适合图标、标志和可缩放图形。
26,.ico,图标,Windows 图标格式，可包含多种尺寸和颜色深度的图标图像。
27,.heic,图片,高效率图像格式，常见于 iPhone 拍摄照片。
28,.raw,图片,相机原始图像数据，保留较多传感器信息，适合后期处理。
29,.psd,图像工程,Adobe Photoshop 工程文件，保存图层、蒙版和编辑信息。
30,.ai,图像工程,Adobe Illustrator 矢量设计文件，常用于插画、标志和印刷设计。
31,.mp3,音频,常见有损压缩音频格式，兼容性高，适合音乐和播客。
32,.wav,音频,无压缩或低压缩音频格式，音质高但文件较大。
33,.flac,音频,无损压缩音频格式，能保留原始音质并减少体积。
34,.aac,音频,高效有损音频格式，常用于流媒体和移动设备。
35,.ogg,音频,开放容器格式，常与 Vorbis 或 Opus 音频编码搭配使用。
36,.m4a,音频,MPEG-4 音频容器，常用于 AAC 或 Apple Lossless 音频。
37,.wma,音频,Windows Media Audio 格式，常见于早期 Windows 媒体生态。
38,.opus,音频,低延迟高压缩效率音频格式，适合语音、会议和流媒体。
39,.mid / .midi,音乐数据,MIDI 乐器指令数据，不直接保存真实录音。
40,.mp4,视频,常见视频容器格式，兼容性强，常用于 H.264/H.265 视频。
41,.mkv,视频,Matroska 视频容器，支持多音轨、多字幕和多编码格式。
42,.avi,视频,较早的视频容器格式，兼容性广但结构较旧。
43,.mov,视频,Apple QuickTime 视频格式，常见于视频编辑和苹果设备。
44,.wmv,视频,Windows Media Video 格式，常见于早期 Windows 平台视频。
45,.flv,视频,Flash 视频格式，曾广泛用于网页视频播放。
46,.webm,视频,面向 Web 的开放视频格式，常用于浏览器播放。
47,.m4v,视频,MPEG-4 视频格式，常见于 Apple 生态。
48,.3gp,视频,移动设备早期常用视频格式，适合低带宽场景。
49,.srt,字幕,纯文本字幕格式，记录字幕序号、时间轴和字幕内容。
50,.ass,字幕,高级字幕格式，支持样式、定位和特效。
51,.zip,压缩归档,常见压缩包格式，支持多个文件打包和压缩。
52,.rar,压缩归档,RAR 压缩格式，支持较高压缩率和分卷压缩。
53,.7z,压缩归档,7-Zip 压缩格式，通常压缩率较高。
54,.tar,归档,Unix/Linux 常用打包格式，本身通常只打包不压缩。
55,.gz,压缩,Gzip 压缩格式，常用于压缩单个文件或与 tar 组合。
56,.bz2,压缩,Bzip2 压缩格式，压缩率通常较 gzip 高但速度较慢。
57,.xz,压缩,XZ 压缩格式，压缩率高，常见于 Linux 软件包。
58,.iso,光盘镜像,光盘映像文件，可保存光盘完整结构和内容。
59,.dmg,磁盘镜像,macOS 常用磁盘镜像格式，常用于软件分发。
60,.vhd / .vhdx,虚拟磁盘,Microsoft 虚拟硬盘格式，常用于虚拟机和系统镜像。
61,.vmdk,虚拟磁盘,VMware 虚拟磁盘格式，保存虚拟机硬盘数据。
62,.json,数据交换,JavaScript Object Notation，常用于配置、接口传输和结构化数据。
63,.xml,数据交换,可扩展标记语言，适合层级结构数据和文档描述。
64,.yaml / .yml,配置数据,易读的数据序列化格式，常用于配置文件和自动化脚本。
65,.toml,配置数据,强调清晰配置语义的文本格式，常见于 Rust、Python 工具配置。
66,.ini,配置数据,简单键值对配置格式，常用于 Windows 程序和旧式软件配置。
67,.env,配置数据,环境变量配置文件，常用于保存应用运行参数。
68,.sql,数据库脚本,SQL 脚本文件，保存建表、查询、插入或迁移语句。
69,.db / .sqlite,数据库,SQLite 数据库文件，适合本地轻量级数据存储。
70,.mdb,数据库,旧版 Microsoft Access 数据库格式。
71,.accdb,数据库,新版 Microsoft Access 数据库格式。
72,.parquet,数据存储,列式存储格式，常用于大数据分析和数据湖。
73,.avro,数据存储,支持模式定义的数据序列化格式，常用于数据管道。
74,.orc,数据存储,面向 Hadoop 生态的列式存储格式。
75,.html,网页,超文本标记语言文件，定义网页结构。
76,.css,网页,层叠样式表文件，定义网页视觉样式和布局。
77,.js,程序代码,JavaScript 脚本文件，常用于网页交互、服务端程序和自动化。
78,.ts,程序代码,TypeScript 源码文件，在 JavaScript 基础上增加静态类型。
79,.py,程序代码,Python 源码文件，常用于脚本、数据分析、Web 后端和自动化。
80,.java,程序代码,Java 源码文件，常用于企业应用、Android 和后端系统。
81,.c,程序代码,C 语言源码文件，常用于系统编程、嵌入式和高性能组件。
82,.cpp,程序代码,C++ 源码文件，常用于游戏、图形、系统和性能敏感应用。
83,.cs,程序代码,C# 源码文件，常用于 .NET 应用、Unity 游戏和企业系统。
84,.go,程序代码,Go 源码文件，常用于云服务、网络程序和命令行工具。
85,.rs,程序代码,Rust 源码文件，强调内存安全和高性能。
86,.php,程序代码,PHP 源码文件，常用于 Web 服务端开发。
87,.rb,程序代码,Ruby 源码文件，常见于脚本和 Ruby on Rails 应用。
88,.swift,程序代码,Swift 源码文件，常用于 iOS、macOS 等 Apple 平台应用。
89,.kt,程序代码,Kotlin 源码文件，常用于 Android 和 JVM 应用。
90,.sh,脚本,Shell 脚本文件，常用于 Linux/macOS 命令自动化。
91,.bat,脚本,Windows 批处理脚本文件，用于执行命令序列。
92,.ps1,脚本,PowerShell 脚本文件，常用于 Windows 管理和自动化。
93,.exe,可执行文件,Windows 可执行程序文件，包含可直接运行的机器代码或程序入口。
94,.dll,动态库,Windows 动态链接库，供程序在运行时加载调用。
95,.so,动态库,Linux/Unix 共享对象库，类似 Windows 的 DLL。
96,.apk,应用包,Android 应用安装包，包含程序代码、资源和清单。
97,.ipa,应用包,iOS 应用归档包，通常用于 Apple 设备应用分发。
98,.ttf,字体,TrueType 字体格式，广泛用于操作系统和设计软件。
99,.otf,字体,OpenType 字体格式，支持更丰富的字体特性。
100,.pem,证书密钥,文本编码的证书或密钥格式，常用于 TLS、SSH 和加密场景。
101,.crt,证书,证书文件格式，通常保存公钥证书。
102,.key,密钥,私钥文件格式，常用于服务器证书、SSH 或加密系统。
103,.p12 / .pfx,证书密钥,可包含证书和私钥的二进制容器，常用于证书导入导出。
104,.log,日志,日志文件，记录程序运行状态、错误和审计信息。
105,.bak,备份,备份文件扩展名，通常表示原文件的备份副本。
